sofascore_event_id,tourney_date,surface,winner_name,loser_name,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced
15372345,2026-01-19,Hard,Fabian Marozsan,Arthur Rinderknech,9,2,112,81,64,22,0.0,0.0,18,2,139,90,58,32,8.0,11.0
15372349,2026-01-19,Hard,Kamil Majchrzak,Jacob Fearnley,5,1,155,102,63,35,9.0,14.0,12,10,143,97,63,25,4.0,8.0
15372366,2026-01-19,Hard,Juncheng Shang,Roberto Bautista Agut,11,6,113,69,58,23,3.0,4.0,11,1,107,70,46,20,5.0,11.0
15372360,2026-01-19,Hard,Quentin Halys,Alejandro Tabilo,12,1,79,44,37,25,1.0,1.0,7,1,91,55,31,20,3.0,7.0
15373172,2026-01-19,Hard,Reilly Opelka,Nicolai Budkov Kjaer,23,4,71,54,51,10,2.0,2.0,3,3,80,57,39,11,1.0,4.0
15372368,2026-01-19,Hard,Stan Wawrinka,Laslo Djere,14,2,116,57,49,38,2.0,4.0,9,5,150,92,71,27,15.0,18.0
15373166,2026-01-19,Hard,Arthur Gea,Jiri Lehecka,7,4,108,73,52,21,3.0,6.0,8,1,118,74,51,19,10.0,15.0
15373164,2026-01-19,Hard,Francesco Maestrelli,Terence Atmane,28,8,134,80,65,31,2.0,3.0,14,4,145,81,61,33,10.0,16.0
15372377,2026-01-19,Hard,Denis Shapovalov,Yunchaokete Bu,19,0,83,56,49,20,1.0,1.0,1,1,96,59,37,21,5.0,8.0
15372375,2026-01-19,Hard,Botic Van de Zandschulp,Brandon Nakashima,15,7,141,97,75,24,5.0,6.0,10,3,126,92,68,20,1.0,3.0
15372374,2026-01-19,Hard,Rinky Hijikata,Adrian Mannarino,4,3,89,55,43,17,6.0,7.0,7,3,99,70,37,12,5.0,11.0
15372386,2026-01-19,Hard,Marin Cilic,Daniel Altmaier,20,3,71,40,35,20,1.0,1.0,8,4,81,51,32,10,6.0,12.0
15373162,2026-01-19,Hard,Valentin Vacherot,Martin Damm Jr,18,2,92,62,52,16,5.0,5.0,16,4,84,55,41,13,0.0,3.0
15372364,2026-01-19,Hard,Novak Djokovic,Pedro Martinez,14,0,57,44,41,11,0.0,0.0,2,6,98,70,42,10,7.0,12.0
15372351,2026-01-19,Hard,Alexandre Muller,Alexei Popyrin,5,4,154,111,78,23,5.0,10.0,40,0,155,100,75,33,7.0,10.0
15372385,2026-01-19,Hard,Casper Ruud,Mattia Bellucci,10,2,76,53,41,15,1.0,1.0,8,3,73,50,32,8,9.0,14.0
15372385,2026-01-19,Hard,Casper Ruud,Mattia Bellucci,10,2,76,53,41,15,1.0,1.0,8,3,73,50,32,8,9.0,14.0
15372364,2026-01-19,Hard,Novak Djokovic,Pedro Martinez,14,0,57,44,41,11,0.0,0.0,2,6,98,70,42,10,7.0,12.0
15373162,2026-01-19,Hard,Valentin Vacherot,Martin Damm Jr,18,2,92,62,52,16,5.0,5.0,16,4,84,55,41,13,0.0,3.0
15372382,2026-01-19,Hard,Jaume Munar,Dalibor Svrcina,18,6,169,108,79,28,5.0,10.0,6,10,164,101,67,31,11.0,18.0
15372350,2026-01-19,Hard,Daniil Medvedev,Jesper De Jong,9,5,111,77,58,11,6.0,10.0,3,1,117,60,39,22,6.0,13.0
15372341,2026-01-19,Hard,Thiago Agustin Tirante,Aleksandar Vukic,20,2,71,44,36,21,0.0,0.0,8,2,87,49,32,16,3.0,8.0
15372386,2026-01-19,Hard,Marin Cilic,Daniel Altmaier,20,3,71,40,35,20,1.0,1.0,8,4,81,51,32,10,6.0,12.0
15372347,2026-01-19,Hard,Nuno Borges,Felix Auger-Aliassime,6,1,84,55,40,17,2.0,5.0,8,1,79,50,33,19,3.0,6.0
15373167,2026-01-19,Hard,Alexander Shevchenko,Elias Ymer,9,5,144,90,66,24,9.0,11.0,1,4,119,60,40,32,6.0,11.0
15372358,2026-01-19,Hard,Hamad Medjedovic,Mariano Navone,15,5,121,71,53,31,6.0,7.0,5,5,129,85,47,27,11.0,17.0
15373167,2026-01-19,Hard,Alexander Shevchenko,Elias Ymer,9,5,144,90,66,24,9.0,11.0,1,4,119,60,40,32,6.0,11.0
15372345,2026-01-19,Hard,Fabian Marozsan,Arthur Rinderknech,9,2,112,81,64,22,0.0,0.0,18,2,139,90,58,32,8.0,11.0
15372344,2026-01-19,Hard,Tommy Paul,Aleksandar Kovacevic,20,0,67,44,40,16,0.0,0.0,10,5,77,48,35,12,2.0,6.0
15372360,2026-01-19,Hard,Quentin Halys,Alejandro Tabilo,12,1,79,44,37,25,1.0,1.0,7,1,91,55,31,20,3.0,7.0
15372350,2026-01-19,Hard,Daniil Medvedev,Jesper De Jong,9,5,111,77,58,11,6.0,10.0,3,1,117,60,39,22,6.0,13.0
15372366,2026-01-19,Hard,Juncheng Shang,Roberto Bautista Agut,11,6,113,69,58,23,3.0,4.0,11,1,107,70,46,20,5.0,11.0
15372355,2026-01-19,Hard,Andrey Rublev,Matteo Arnaldi,8,2,80,55,40,18,6.0,6.0,4,4,77,42,27,20,6.0,11.0
15373172,2026-01-19,Hard,Reilly Opelka,Nicolai Budkov Kjaer,23,4,71,54,51,10,2.0,2.0,3,3,80,57,39,11,1.0,4.0
15372348,2026-01-19,Hard,Learner Tien,Marcos Giron,21,10,165,103,70,33,12.0,18.0,14,3,176,114,74,29,7.0,13.0
15384174,2026-01-19,Hard,Alex de Minaur,Mackenzie McDonald,9,4,66,34,29,21,1.0,1.0,7,2,91,55,32,16,5.0,11.0
15372340,2026-01-19,Hard,Alejandro Davidovich Fokina,Filip Misolic,10,3,84,56,42,17,4.0,4.0,6,3,83,45,30,14,6.0,11.0
15372362,2026-01-19,Hard,Jordan Thompson,Juan Manuel Cerundolo,10,1,115,67,51,34,5.0,5.0,5,6,125,60,40,35,4.0,10.0
15372349,2026-01-19,Hard,Kamil Majchrzak,Jacob Fearnley,5,1,155,102,63,35,9.0,14.0,12,10,143,97,63,25,4.0,8.0
15372358,2026-01-19,Hard,Hamad Medjedovic,Mariano Navone,15,5,121,71,53,31,6.0,7.0,5,5,129,85,47,27,11.0,17.0
15372385,2026-01-19,Hard,Casper Ruud,Mattia Bellucci,10,2,76,53,41,15,1.0,1.0,8,3,73,50,32,8,9.0,14.0
15372351,2026-01-19,Hard,Alexandre Muller,Alexei Popyrin,5,4,154,111,78,23,5.0,10.0,40,0,155,100,75,33,7.0,10.0
15372382,2026-01-19,Hard,Jaume Munar,Dalibor Svrcina,18,6,169,108,79,28,5.0,10.0,6,10,164,101,67,31,11.0,18.0
15372341,2026-01-19,Hard,Thiago Agustin Tirante,Aleksandar Vukic,20,2,71,44,36,21,0.0,0.0,8,2,87,49,32,16,3.0,8.0
15373166,2026-01-19,Hard,Arthur Gea,Jiri Lehecka,7,4,108,73,52,21,3.0,6.0,8,1,118,74,51,19,10.0,15.0
15372364,2026-01-19,Hard,Novak Djokovic,Pedro Martinez,14,0,57,44,41,11,0.0,0.0,2,6,98,70,42,10,7.0,12.0
15372374,2026-01-19,Hard,Rinky Hijikata,Adrian Mannarino,4,3,89,55,43,17,6.0,7.0,7,3,99,70,37,12,5.0,11.0
15372368,2026-01-19,Hard,Stan Wawrinka,Laslo Djere,14,2,116,57,49,38,2.0,4.0,9,5,150,92,71,27,15.0,18.0
15373164,2026-01-19,Hard,Francesco Maestrelli,Terence Atmane,28,8,134,80,65,31,2.0,3.0,14,4,145,81,61,33,10.0,16.0
15372375,2026-01-19,Hard,Botic Van de Zandschulp,Brandon Nakashima,15,7,141,97,75,24,5.0,6.0,10,3,126,92,68,20,1.0,3.0
15372377,2026-01-19,Hard,Denis Shapovalov,Yunchaokete Bu,19,0,83,56,49,20,1.0,1.0,1,1,96,59,37,21,5.0,8.0
15372372,2026-01-20,Hard,Lorenzo Sonego,Carlos Taberner,13,2,61,42,34,11,0.0,1.0,1,11,76,45,25,12,5.0,12.0
15372365,2026-01-20,Hard,Ethan Quinn,Tallon Griekspoor,5,2,59,37,29,16,0.0,2.0,6,8,82,51,29,11,8.0,15.0
15372383,2026-01-20,Hard,Sebastian Baez,Giovanni Mpetshi Perricard,10,2,154,120,87,18,10.0,13.0,30,5,150,107,78,23,6.0,10.0
15372370,2026-01-20,Hard,Jakub Mensik,Pablo Carreno Busta,27,19,185,105,79,31,12.0,18.0,1,6,161,109,75,23,6.0,12.0
15372384,2026-01-20,Hard,Karen Khachanov,Alex Michelsen,24,4,176,112,86,31,11.0,13.0,16,4,142,94,72,25,11.0,15.0
15372379,2026-01-20,Hard,Eliot Spizzirri,Joao Fonseca,14,2,97,65,53,16,7.0,9.0,10,5,102,63,42,19,8.0,13.0
15372363,2026-01-20,Hard,Ben Shelton,Ugo Humbert,15,2,103,72,56,20,1.0,3.0,5,6,107,64,47,21,7.0,10.0
15372380,2026-01-20,Hard,Jannik Sinner,Hugo Gaston,6,0,45,29,25,8,3.0,3.0,0,0,47,23,14,8,3.0,7.0
15373161,2026-01-20,Hard,Nishesh Basavareddy,Christopher O'Connell,17,5,148,85,64,40,1.0,4.0,25,3,176,108,80,31,8.0,13.0
15373160,2026-01-20,Hard,Yibing Wu,Luca Nardi,7,3,132,75,52,32,15.0,19.0,7,6,117,66,42,27,6.0,13.0
15373159,2026-01-20,Hard,James Duckworth,Dino Prizmic,16,5,167,107,80,30,14.0,20.0,9,12,168,102,76,35,14.0,18.0
15373165,2026-01-20,Hard,Rafael Jodar,Rei Sakamoto,4,1,160,99,70,39,6.0,9.0,6,4,173,112,76,34,10.0,15.0
15372378,2026-01-20,Hard,Hubert Hurkacz,Zizou Bergs,18,2,118,88,77,15,6.0,6.0,15,6,147,106,75,23,8.0,11.0
15372369,2026-01-20,Hard,Vit Kopriva,Jan-Lennard Struff,19,5,169,110,78,24,16.0,20.0,16,10,121,78,51,18,5.0,12.0
15372376,2026-01-20,Hard,Taylor Fritz,Valentin Royer,24,3,110,76,62,18,4.0,7.0,19,6,150,89,62,25,15.0,21.0
15372367,2026-01-20,Hard,Stefanos Tsitsipas,Shintaro Mochizuki,16,6,104,69,55,18,7.0,8.0,3,6,135,72,46,30,15.0,20.0
15372371,2026-01-20,Hard,Tomas Machac,Grigor Dimitrov,21,1,72,51,41,19,4.0,4.0,11,4,95,71,47,9,6.0,10.0
15373163,2026-01-20,Hard,Dane Sweeny,Gael Monfils,2,3,148,94,66,33,9.0,11.0,14,6,164,93,71,32,14.0,19.0
15372373,2026-01-20,Hard,Lorenzo Musetti,Raphael Collignon,10,3,120,81,55,24,11.0,15.0,11,6,129,70,49,28,5.0,10.0
15372376,2026-01-20,Hard,Taylor Fritz,Valentin Royer,24,3,110,76,62,18,4.0,7.0,19,6,150,89,62,25,15.0,21.0
15372381,2026-01-20,Hard,Luciano Darderi,Cristian Garin,15,2,101,63,50,25,2.0,4.0,12,6,132,78,54,27,8.0,11.0
15372371,2026-01-20,Hard,Tomas Machac,Grigor Dimitrov,21,1,72,51,41,19,4.0,4.0,11,4,95,71,47,9,6.0,10.0
15372372,2026-01-20,Hard,Lorenzo Sonego,Carlos Taberner,13,2,61,42,34,11,0.0,1.0,1,11,76,45,25,12,5.0,12.0
15372373,2026-01-20,Hard,Lorenzo Musetti,Raphael Collignon,10,3,120,81,55,24,11.0,15.0,11,6,129,70,49,28,5.0,10.0
15372383,2026-01-20,Hard,Sebastian Baez,Giovanni Mpetshi Perricard,10,2,154,120,87,18,10.0,13.0,30,5,150,107,78,23,6.0,10.0
15372365,2026-01-20,Hard,Ethan Quinn,Tallon Griekspoor,5,2,59,37,29,16,0.0,2.0,6,8,82,51,29,11,8.0,15.0
15373163,2026-01-20,Hard,Dane Sweeny,Gael Monfils,2,3,148,94,66,33,9.0,11.0,14,6,164,93,71,32,14.0,19.0
15373160,2026-01-20,Hard,Yibing Wu,Luca Nardi,7,3,132,75,52,32,15.0,19.0,7,6,117,66,42,27,6.0,13.0
15372370,2026-01-20,Hard,Jakub Mensik,Pablo Carreno Busta,27,19,185,105,79,31,12.0,18.0,1,6,161,109,75,23,6.0,12.0
15372384,2026-01-20,Hard,Karen Khachanov,Alex Michelsen,24,4,176,112,86,31,11.0,13.0,16,4,142,94,72,25,11.0,15.0
15372381,2026-01-20,Hard,Luciano Darderi,Cristian Garin,15,2,101,63,50,25,2.0,4.0,12,6,132,78,54,27,8.0,11.0
15372363,2026-01-20,Hard,Ben Shelton,Ugo Humbert,15,2,103,72,56,20,1.0,3.0,5,6,107,64,47,21,7.0,10.0
15373161,2026-01-20,Hard,Nishesh Basavareddy,Christopher O'Connell,17,5,148,85,64,40,1.0,4.0,25,3,176,108,80,31,8.0,13.0
15372369,2026-01-20,Hard,Vit Kopriva,Jan-Lennard Struff,19,5,169,110,78,24,16.0,20.0,16,10,121,78,51,18,5.0,12.0
15372367,2026-01-20,Hard,Stefanos Tsitsipas,Shintaro Mochizuki,16,6,104,69,55,18,7.0,8.0,3,6,135,72,46,30,15.0,20.0
15372380,2026-01-20,Hard,Jannik Sinner,Hugo Gaston,6,0,45,29,25,8,3.0,3.0,0,0,47,23,14,8,3.0,7.0
15372367,2026-01-20,Hard,Stefanos Tsitsipas,Shintaro Mochizuki,16,6,104,69,55,18,7.0,8.0,3,6,135,72,46,30,15.0,20.0
15372378,2026-01-20,Hard,Hubert Hurkacz,Zizou Bergs,18,2,118,88,77,15,6.0,6.0,15,6,147,106,75,23,8.0,11.0
15373165,2026-01-20,Hard,Rafael Jodar,Rei Sakamoto,4,1,160,99,70,39,6.0,9.0,6,4,173,112,76,34,10.0,15.0
15373159,2026-01-20,Hard,James Duckworth,Dino Prizmic,16,5,167,107,80,30,14.0,20.0,9,12,168,102,76,35,14.0,18.0
15372379,2026-01-20,Hard,Eliot Spizzirri,Joao Fonseca,14,2,97,65,53,16,7.0,9.0,10,5,102,63,42,19,8.0,13.0
15345292,2026-01-21,Hard,Andrey Rublev,Jaime Faria,6,3,125,88,67,20,10.0,12.0,10,5,120,77,53,22,4.0,9.0
15345301,2026-01-21,Hard,Tommy Paul,Thiago Agustin Tirante,4,1,82,47,37,23,4.0,4.0,12,3,85,48,36,11,6.0,10.0
15345288,2026-01-21,Hard,Francisco Cerundolo,Damir Dzumhur,10,1,66,36,29,20,2.0,3.0,3,1,78,50,29,12,5.0,12.0
15345253,2026-01-21,Hard,Daniil Medvedev,Quentin Halys,14,6,145,98,72,26,10.0,12.0,6,6,115,75,54,16,4.0,10.0
15345284,2026-01-21,Hard,Tomas Martin Etcheverry,Arthur Fery,11,1,102,70,47,23,9.0,10.0,5,1,92,60,39,15,6.0,11.0
15345285,2026-01-21,Hard,Carlos Alcaraz,Yannick Hanfmann,12,3,111,71,49,24,6.0,7.0,7,4,100,62,43,17,5.0,9.0
15345299,2026-01-21,Hard,Alejandro Davidovich Fokina,Reilly Opelka,12,1,165,129,99,19,9.0,11.0,37,12,161,107,80,31,9.0,11.0
15345289,2026-01-21,Hard,Cameron Norrie,Emilio Nava,5,2,144,96,66,32,7.0,10.0,19,5,148,99,65,26,15.0,19.0
15345297,2026-01-21,Hard,Corentin Moutet,Michael Zheng,10,5,76,46,33,16,4.0,7.0,3,1,84,62,37,6,0.0,7.0
15345298,2026-01-21,Hard,Alexander Bublik,Marton Fucsovics,12,4,90,63,48,14,0.0,2.0,6,6,119,72,44,26,8.0,13.0
15345290,2026-01-21,Hard,Alexander Zverev,Alexandre Muller,18,1,108,73,52,22,5.0,8.0,4,2,125,87,56,17,10.0,16.0
15345286,2026-01-21,Hard,Alex de Minaur,Hamad Medjedovic,12,4,110,76,58,21,2.0,3.0,19,11,137,88,58,18,14.0,21.0
15345291,2026-01-21,Hard,Frances Tiafoe,Francisco Comesana,7,1,108,60,52,25,4.0,5.0,15,5,123,82,57,17,12.0,17.0
15345254,2026-01-21,Hard,Fabian Marozsan,Kamil Majchrzak,5,2,116,83,50,18,8.0,12.0,3,4,119,80,46,13,8.0,14.0
15345255,2026-01-21,Hard,Learner Tien,Alexander Shevchenko,9,2,92,55,45,19,2.0,4.0,4,1,94,59,31,17,4.0,13.0
